Alert,Activate,Max
14.264026675222649,45.1,49.61000000000001
13.777739790341204,60.50000000000001,66.55000000000001
14.277730844216487,38.5,42.35000000000001
14.32979324906449,35.2,38.720000000000006
17.50695850443946,37.400000000000006,41.14000000000001
15.69076403808819,37.400000000000006,41.14000000000001
16.115820519186116,35.2,38.720000000000006
16.59158642551731,45.1,49.61000000000001
16.247645447126075,37.400000000000006,41.14000000000001
16.183937055846975,42.900000000000006,47.190000000000005
15.572914210527092,38.5,42.35000000000001
16.023404557719324,46.2,50.82000000000001
15.908973683271508,45.1,49.61000000000001
16.919381356470282,45.1,49.61000000000001
13.29567618525234,59.400000000000006,65.34
16.321711979798472,37.400000000000006,41.14000000000001
15.742758314186847,35.2,38.720000000000006
16.312297128577107,41.800000000000004,45.980000000000004
16.323272524934605,38.5,42.35000000000001
18.269793112991053,40.7,44.77000000000001
16.31725047157071,35.2,38.720000000000006
16.229757874048826,44.0,48.400000000000006
17.568729350045995,37.400000000000006,41.14000000000001
17.797338573288886,50.6,55.66000000000001
17.067826878520215,44.0,48.400000000000006
16.125438193637244,41.800000000000004,45.980000000000004
16.979480523381596,59.400000000000006,65.34
18.010902624646285,45.1,49.61000000000001
16.85531018769514,44.0,48.400000000000006
16.144980943422624,42.900000000000006,47.190000000000005
18.461557771657272,51.7,56.87000000000001
17.732021404849068,50.6,55.66000000000001
18.294315788314766,42.900000000000006,47.190000000000005
19.45440910404009,53.900000000000006,59.290000000000006
19.849428929847484,56.1,61.71000000000001
18.117863111091378,49.50000000000001,54.45000000000001
19.84542009807341,38.5,42.35000000000001
18.810242577126253,37.400000000000006,41.14000000000001
20.04485056376395,49.50000000000001,54.45000000000001
19.840962431112132,38.5,42.35000000000001
19.478502533616375,48.400000000000006,53.24000000000001
18.662940540121713,44.0,48.400000000000006
